2026-04-13 08:29:20,103 | gemini_media_gen | INFO | --- Log level set to INFO ---
2026-04-13 14:58:47,177 | gemini_media_gen | INFO | start gemini media mcp server...
2026-04-13 14:58:47,214 | mcp.server.lowlevel.server | INFO | Processing request of type ListPromptsRequest
2026-04-13 14:58:47,218 | mcp.server.lowlevel.server | INFO | Processing request of type ListToolsRequest
2026-04-13 14:58:47,224 | mcp.server.lowlevel.server | INFO | Processing request of type ListResourcesRequest
2026-04-13 15:05:43,897 | gemini_media_gen | INFO | --- Log level set to INFO ---
2026-04-13 15:05:43,898 | gemini_media_gen | INFO | --- Logging to file: gemini_media_gen.log ---
2026-04-13 15:05:43,902 | gemini_media_gen | INFO | start gemini media mcp server...
2026-04-13 15:05:43,940 | mcp.server.lowlevel.server | INFO | Processing request of type ListPromptsRequest
2026-04-13 15:05:43,943 | mcp.server.lowlevel.server | INFO | Processing request of type ListToolsRequest
2026-04-13 15:05:43,950 | mcp.server.lowlevel.server | INFO | Processing request of type ListResourcesRequest
2026-04-13 15:06:09,347 | gemini_media_gen | INFO | --- Log level set to INFO ---
2026-04-13 15:06:09,347 | gemini_media_gen | INFO | --- Logging to file: gemini_media_gen.log ---
2026-04-13 15:06:09,351 | gemini_media_gen | INFO | start gemini media mcp server...
2026-04-13 15:06:09,389 | mcp.server.lowlevel.server | INFO | Processing request of type ListPromptsRequest
2026-04-13 15:06:09,392 | mcp.server.lowlevel.server | INFO | Processing request of type ListToolsRequest
2026-04-13 15:06:09,399 | mcp.server.lowlevel.server | INFO | Processing request of type ListResourcesRequest
2026-04-13 15:59:03,220 | gemini_media_gen | INFO | --- Log level set to INFO ---
2026-04-13 15:59:03,220 | gemini_media_gen | INFO | --- Logging to file: gemini_media_gen.log ---
2026-04-13 15:59:03,225 | gemini_media_gen | INFO | start gemini media mcp server...
2026-04-13 15:59:03,277 | mcp.server.lowlevel.server | INFO | Processing request of type ListPromptsRequest
2026-04-13 15:59:03,281 | mcp.server.lowlevel.server | INFO | Processing request of type ListToolsRequest
2026-04-13 15:59:03,287 | mcp.server.lowlevel.server | INFO | Processing request of type ListResourcesRequest
2026-04-23 04:21:28,924 | gemini_media_gen | INFO | --- Log level set to INFO ---
2026-04-23 04:21:28,925 | gemini_media_gen | INFO | --- Logging to file: gemini_media_gen.log ---
2026-04-23 04:21:28,934 | gemini_media_gen | INFO | start gemini media mcp server...
2026-04-23 04:21:30,124 | httpx | INFO | HTTP Request: GET https://pypi.org/pypi/fastmcp/json "HTTP/1.1 200 OK"
2026-04-23 04:21:30,311 | mcp.server.lowlevel.server | INFO | Processing request of type ListPromptsRequest
2026-04-23 04:21:30,314 | mcp.server.lowlevel.server | INFO | Processing request of type ListToolsRequest
2026-04-23 04:21:30,330 | mcp.server.lowlevel.server | INFO | Processing request of type ListResourcesRequest
2026-04-28 02:06:42,023 | gemini_media_gen | INFO | --- Log level set to INFO ---
2026-04-28 02:06:42,024 | gemini_media_gen | INFO | --- Logging to file: gemini_media_gen.log ---
2026-04-28 02:06:42,045 | gemini_media_gen | INFO | start gemini media mcp server...
2026-04-28 02:06:43,345 | httpx | INFO | HTTP Request: GET https://pypi.org/pypi/fastmcp/json "HTTP/1.1 200 OK"
2026-04-28 02:06:43,564 | mcp.server.lowlevel.server | INFO | Processing request of type ListPromptsRequest
2026-04-28 02:06:43,568 | mcp.server.lowlevel.server | INFO | Processing request of type ListToolsRequest
2026-04-28 02:06:43,612 | mcp.server.lowlevel.server | INFO | Processing request of type ListResourcesRequest
2026-04-28 02:19:01,873 | gemini_media_gen | INFO | --- Log level set to INFO ---
2026-04-28 02:19:01,874 | gemini_media_gen | INFO | --- Logging to file: gemini_media_gen.log ---
2026-04-28 02:19:01,880 | gemini_media_gen | INFO | start gemini media mcp server...
2026-04-28 02:19:01,938 | mcp.server.lowlevel.server | INFO | Processing request of type ListPromptsRequest
2026-04-28 02:19:01,942 | mcp.server.lowlevel.server | INFO | Processing request of type ListToolsRequest
2026-04-28 02:19:01,956 | mcp.server.lowlevel.server | INFO | Processing request of type ListResourcesRequest
2026-04-29 02:29:40,889 | gemini_media_gen | INFO | --- Log level set to INFO ---
2026-04-29 02:29:40,891 | gemini_media_gen | INFO | --- Logging to file: gemini_media_gen.log ---
2026-04-29 02:29:40,897 | gemini_media_gen | INFO | start gemini media mcp server...
2026-04-29 02:29:41,415 | httpx | INFO | HTTP Request: GET https://pypi.org/pypi/fastmcp/json "HTTP/1.1 200 OK"
2026-04-29 02:29:41,462 | mcp.server.lowlevel.server | INFO | Processing request of type ListPromptsRequest
2026-04-29 02:29:41,465 | mcp.server.lowlevel.server | INFO | Processing request of type ListToolsRequest
2026-04-29 02:29:41,472 | mcp.server.lowlevel.server | INFO | Processing request of type ListResourcesRequest
2026-05-01 06:18:03,686 | gemini_media_gen | INFO | --- Log level set to INFO ---
2026-05-01 06:18:03,687 | gemini_media_gen | INFO | --- Logging to file: gemini_media_gen.log ---
2026-05-01 06:18:03,706 | gemini_media_gen | INFO | start gemini media mcp server...
2026-05-01 06:18:04,933 | httpx | INFO | HTTP Request: GET https://pypi.org/pypi/fastmcp/json "HTTP/1.1 200 OK"
2026-05-01 06:18:05,122 | mcp.server.lowlevel.server | INFO | Processing request of type ListPromptsRequest
2026-05-01 06:18:05,126 | mcp.server.lowlevel.server | INFO | Processing request of type ListToolsRequest
2026-05-01 06:18:05,162 | mcp.server.lowlevel.server | INFO | Processing request of type ListResourcesRequest
2026-05-01 06:53:45,379 | gemini_media_gen | INFO | --- Log level set to INFO ---
2026-05-01 06:53:45,380 | gemini_media_gen | INFO | --- Logging to file: gemini_media_gen.log ---
2026-05-01 06:53:45,386 | gemini_media_gen | INFO | start gemini media mcp server...
2026-05-01 06:53:45,434 | mcp.server.lowlevel.server | INFO | Processing request of type ListPromptsRequest
2026-05-01 06:53:45,437 | mcp.server.lowlevel.server | INFO | Processing request of type ListToolsRequest
2026-05-01 06:53:45,442 | mcp.server.lowlevel.server | INFO | Processing request of type ListResourcesRequest
2026-05-01 07:06:06,337 | gemini_media_gen | INFO | --- Log level set to INFO ---
2026-05-01 07:06:06,337 | gemini_media_gen | INFO | --- Logging to file: gemini_media_gen.log ---
2026-05-01 07:06:06,342 | gemini_media_gen | INFO | start gemini media mcp server...
2026-05-01 07:12:42,924 | gemini_media_gen | INFO | --- Log level set to INFO ---
2026-05-01 07:12:42,924 | gemini_media_gen | INFO | --- Logging to file: gemini_media_gen.log ---
2026-05-01 07:12:42,929 | gemini_media_gen | INFO | start gemini media mcp server...
2026-05-01 07:15:49,635 | gemini_media_gen | INFO | --- Log level set to INFO ---
2026-05-01 07:15:49,635 | gemini_media_gen | INFO | --- Logging to file: gemini_media_gen.log ---
2026-05-01 07:15:49,640 | gemini_media_gen | INFO | start gemini media mcp server...
2026-05-01 09:03:46,262 | gemini_media_gen | INFO | --- Log level set to INFO ---
2026-05-01 09:03:46,262 | gemini_media_gen | INFO | --- Logging to file: gemini_media_gen.log ---
2026-05-01 09:03:46,270 | gemini_media_gen | INFO | start gemini media mcp server...
2026-05-01 09:03:46,310 | mcp.server.lowlevel.server | INFO | Processing request of type ListPromptsRequest
2026-05-01 09:03:46,313 | mcp.server.lowlevel.server | INFO | Processing request of type ListToolsRequest
2026-05-01 09:03:46,321 | mcp.server.lowlevel.server | INFO | Processing request of type ListResourcesRequest
2026-05-01 11:39:53,576 | gemini_media_gen | INFO | --- Log level set to INFO ---
2026-05-01 11:39:53,577 | gemini_media_gen | INFO | --- Logging to file: gemini_media_gen.log ---
2026-05-01 11:39:53,584 | gemini_media_gen | INFO | start gemini media mcp server...
2026-05-01 11:39:53,637 | mcp.server.lowlevel.server | INFO | Processing request of type ListPromptsRequest
2026-05-01 11:39:53,641 | mcp.server.lowlevel.server | INFO | Processing request of type ListToolsRequest
2026-05-01 11:39:53,657 | mcp.server.lowlevel.server | INFO | Processing request of type ListResourcesRequest
2026-05-01 13:13:46,270 | gemini_media_gen | INFO | --- Log level set to INFO ---
2026-05-01 13:13:46,271 | gemini_media_gen | INFO | --- Logging to file: gemini_media_gen.log ---
2026-05-01 13:13:46,276 | gemini_media_gen | INFO | start gemini media mcp server...
2026-05-01 13:13:46,318 | mcp.server.lowlevel.server | INFO | Processing request of type ListPromptsRequest
2026-05-01 13:13:46,321 | mcp.server.lowlevel.server | INFO | Processing request of type ListToolsRequest
2026-05-01 13:13:46,328 | mcp.server.lowlevel.server | INFO | Processing request of type ListResourcesRequest
2026-05-01 19:54:48,014 | gemini_media_gen | INFO | --- Log level set to INFO ---
2026-05-01 19:54:48,015 | gemini_media_gen | INFO | --- Logging to file: gemini_media_gen.log ---
2026-05-01 19:54:48,043 | gemini_media_gen | INFO | start gemini media mcp server...
2026-05-01 19:54:49,490 | httpx | INFO | HTTP Request: GET https://pypi.org/pypi/fastmcp/json "HTTP/1.1 200 OK"
2026-05-01 19:54:49,708 | mcp.server.lowlevel.server | INFO | Processing request of type ListPromptsRequest
2026-05-01 19:54:49,712 | mcp.server.lowlevel.server | INFO | Processing request of type ListToolsRequest
2026-05-01 19:54:49,756 | mcp.server.lowlevel.server | INFO | Processing request of type ListResourcesRequest
2026-05-01 19:56:12,819 | gemini_media_gen | INFO | --- Log level set to INFO ---
2026-05-01 19:56:12,820 | gemini_media_gen | INFO | --- Logging to file: gemini_media_gen.log ---
2026-05-01 19:56:12,827 | gemini_media_gen | INFO | start gemini media mcp server...
2026-05-01 19:56:12,885 | mcp.server.lowlevel.server | INFO | Processing request of type ListPromptsRequest
2026-05-01 19:56:12,888 | mcp.server.lowlevel.server | INFO | Processing request of type ListToolsRequest
2026-05-01 19:56:12,895 | mcp.server.lowlevel.server | INFO | Processing request of type ListResourcesRequest
2026-05-01 21:41:31,808 | gemini_media_gen | INFO | --- Log level set to INFO ---
2026-05-01 21:41:31,808 | gemini_media_gen | INFO | --- Logging to file: gemini_media_gen.log ---
2026-05-01 21:41:31,830 | gemini_media_gen | INFO | start gemini media mcp server...
2026-05-01 21:41:31,986 | mcp.server.lowlevel.server | INFO | Processing request of type ListPromptsRequest
2026-05-01 21:41:31,989 | mcp.server.lowlevel.server | INFO | Processing request of type ListToolsRequest
2026-05-01 21:41:32,028 | mcp.server.lowlevel.server | INFO | Processing request of type ListResourcesRequest
2026-05-01 21:44:15,528 | gemini_media_gen | INFO | --- Log level set to INFO ---
2026-05-01 21:44:15,528 | gemini_media_gen | INFO | --- Logging to file: gemini_media_gen.log ---
2026-05-01 21:44:15,536 | gemini_media_gen | INFO | start gemini media mcp server...
2026-05-01 21:50:33,973 | gemini_media_gen | INFO | --- Log level set to INFO ---
2026-05-01 21:50:33,973 | gemini_media_gen | INFO | --- Logging to file: gemini_media_gen.log ---
2026-05-01 21:50:33,980 | gemini_media_gen | INFO | start gemini media mcp server...
2026-05-01 21:50:34,029 | mcp.server.lowlevel.server | INFO | Processing request of type ListPromptsRequest
2026-05-01 21:50:34,035 | mcp.server.lowlevel.server | INFO | Processing request of type ListToolsRequest
2026-05-01 21:50:34,044 | mcp.server.lowlevel.server | INFO | Processing request of type ListResourcesRequest
2026-05-01 21:58:53,923 | gemini_media_gen | INFO | --- Log level set to INFO ---
2026-05-01 21:58:53,924 | gemini_media_gen | INFO | --- Logging to file: gemini_media_gen.log ---
2026-05-01 21:58:53,930 | gemini_media_gen | INFO | start gemini media mcp server...
2026-05-01 22:04:41,528 | gemini_media_gen | INFO | --- Log level set to INFO ---
2026-05-01 22:04:41,528 | gemini_media_gen | INFO | --- Logging to file: gemini_media_gen.log ---
2026-05-01 22:04:41,534 | gemini_media_gen | INFO | start gemini media mcp server...
2026-05-01 22:04:41,582 | mcp.server.lowlevel.server | INFO | Processing request of type ListPromptsRequest
2026-05-01 22:04:41,586 | mcp.server.lowlevel.server | INFO | Processing request of type ListToolsRequest
2026-05-01 22:04:41,593 | mcp.server.lowlevel.server | INFO | Processing request of type ListResourcesRequest
2026-05-02 20:21:57,618 | gemini_media_gen | INFO | --- Log level set to INFO ---
2026-05-02 20:21:57,619 | gemini_media_gen | INFO | --- Logging to file: gemini_media_gen.log ---
2026-05-02 20:21:57,625 | gemini_media_gen | INFO | start gemini media mcp server...
2026-05-02 20:21:58,868 | httpx | INFO | HTTP Request: GET https://pypi.org/pypi/fastmcp/json "HTTP/1.1 200 OK"
2026-05-02 20:21:58,918 | mcp.server.lowlevel.server | INFO | Processing request of type ListPromptsRequest
2026-05-02 20:21:58,922 | mcp.server.lowlevel.server | INFO | Processing request of type ListToolsRequest
2026-05-02 20:21:58,929 | mcp.server.lowlevel.server | INFO | Processing request of type ListResourcesRequest
2026-05-02 20:29:43,250 | gemini_media_gen | INFO | --- Log level set to INFO ---
2026-05-02 20:29:43,250 | gemini_media_gen | INFO | --- Logging to file: gemini_media_gen.log ---
2026-05-02 20:29:43,257 | gemini_media_gen | INFO | start gemini media mcp server...
2026-05-02 20:29:43,316 | mcp.server.lowlevel.server | INFO | Processing request of type ListPromptsRequest
2026-05-02 20:29:43,320 | mcp.server.lowlevel.server | INFO | Processing request of type ListToolsRequest
2026-05-02 20:29:43,334 | mcp.server.lowlevel.server | INFO | Processing request of type ListResourcesRequest
2026-05-02 20:43:26,040 | gemini_media_gen | INFO | --- Log level set to INFO ---
2026-05-02 20:43:26,041 | gemini_media_gen | INFO | --- Logging to file: gemini_media_gen.log ---
2026-05-02 20:43:26,046 | gemini_media_gen | INFO | start gemini media mcp server...
2026-05-02 20:43:26,088 | mcp.server.lowlevel.server | INFO | Processing request of type ListPromptsRequest
2026-05-02 20:43:26,091 | mcp.server.lowlevel.server | INFO | Processing request of type ListToolsRequest
2026-05-02 20:43:26,097 | mcp.server.lowlevel.server | INFO | Processing request of type ListResourcesRequest
2026-05-02 20:50:02,007 | gemini_media_gen | INFO | --- Log level set to INFO ---
2026-05-02 20:50:02,008 | gemini_media_gen | INFO | --- Logging to file: gemini_media_gen.log ---
2026-05-02 20:50:02,014 | gemini_media_gen | INFO | start gemini media mcp server...
2026-05-02 20:50:02,056 | mcp.server.lowlevel.server | INFO | Processing request of type ListPromptsRequest
2026-05-02 20:50:02,060 | mcp.server.lowlevel.server | INFO | Processing request of type ListToolsRequest
2026-05-02 20:50:02,066 | mcp.server.lowlevel.server | INFO | Processing request of type ListResourcesRequest
2026-05-02 20:56:14,039 | gemini_media_gen | INFO | --- Log level set to INFO ---
2026-05-02 20:56:14,039 | gemini_media_gen | INFO | --- Logging to file: gemini_media_gen.log ---
2026-05-02 20:56:14,044 | gemini_media_gen | INFO | start gemini media mcp server...
2026-05-02 20:56:14,076 | mcp.server.lowlevel.server | INFO | Processing request of type ListPromptsRequest
2026-05-02 20:56:14,078 | mcp.server.lowlevel.server | INFO | Processing request of type ListToolsRequest
2026-05-02 20:56:14,084 | mcp.server.lowlevel.server | INFO | Processing request of type ListResourcesRequest
2026-05-02 21:04:48,388 | gemini_media_gen | INFO | --- Log level set to INFO ---
2026-05-02 21:04:48,388 | gemini_media_gen | INFO | --- Logging to file: gemini_media_gen.log ---
2026-05-02 21:04:48,393 | gemini_media_gen | INFO | start gemini media mcp server...
2026-05-02 21:04:48,435 | mcp.server.lowlevel.server | INFO | Processing request of type ListPromptsRequest
2026-05-02 21:04:48,438 | mcp.server.lowlevel.server | INFO | Processing request of type ListToolsRequest
2026-05-02 21:04:48,444 | mcp.server.lowlevel.server | INFO | Processing request of type ListResourcesRequest
2026-05-02 22:28:18,791 | gemini_media_gen | INFO | --- Log level set to INFO ---
2026-05-02 22:28:18,791 | gemini_media_gen | INFO | --- Logging to file: gemini_media_gen.log ---
2026-05-02 22:28:18,797 | gemini_media_gen | INFO | start gemini media mcp server...
2026-05-02 22:28:18,839 | mcp.server.lowlevel.server | INFO | Processing request of type ListPromptsRequest
2026-05-02 22:28:18,842 | mcp.server.lowlevel.server | INFO | Processing request of type ListToolsRequest
2026-05-02 22:28:18,849 | mcp.server.lowlevel.server | INFO | Processing request of type ListResourcesRequest
2026-05-02 23:49:57,337 | gemini_media_gen | INFO | --- Log level set to INFO ---
2026-05-02 23:49:57,338 | gemini_media_gen | INFO | --- Logging to file: gemini_media_gen.log ---
2026-05-02 23:49:57,343 | gemini_media_gen | INFO | start gemini media mcp server...
2026-05-02 23:49:57,386 | mcp.server.lowlevel.server | INFO | Processing request of type ListPromptsRequest
2026-05-02 23:49:57,390 | mcp.server.lowlevel.server | INFO | Processing request of type ListToolsRequest
2026-05-02 23:49:57,396 | mcp.server.lowlevel.server | INFO | Processing request of type ListResourcesRequest
2026-05-02 23:58:26,130 | gemini_media_gen | INFO | --- Log level set to INFO ---
2026-05-02 23:58:26,131 | gemini_media_gen | INFO | --- Logging to file: gemini_media_gen.log ---
2026-05-02 23:58:26,136 | gemini_media_gen | INFO | start gemini media mcp server...
2026-05-02 23:58:26,175 | mcp.server.lowlevel.server | INFO | Processing request of type ListPromptsRequest
2026-05-02 23:58:26,178 | mcp.server.lowlevel.server | INFO | Processing request of type ListToolsRequest
2026-05-02 23:58:26,184 | mcp.server.lowlevel.server | INFO | Processing request of type ListResourcesRequest
2026-05-05 07:59:40,340 | gemini_media_gen | INFO | --- Log level set to INFO ---
2026-05-05 07:59:40,342 | gemini_media_gen | INFO | --- Logging to file: gemini_media_gen.log ---
2026-05-05 07:59:40,361 | gemini_media_gen | INFO | start gemini media mcp server...
2026-05-05 07:59:41,647 | httpx | INFO | HTTP Request: GET https://pypi.org/pypi/fastmcp/json "HTTP/1.1 200 OK"
2026-05-05 07:59:41,839 | mcp.server.lowlevel.server | INFO | Processing request of type ListPromptsRequest
2026-05-05 07:59:41,842 | mcp.server.lowlevel.server | INFO | Processing request of type ListToolsRequest
2026-05-05 07:59:41,878 | mcp.server.lowlevel.server | INFO | Processing request of type ListResourcesRequest
2026-05-05 08:55:21,824 | gemini_media_gen | INFO | --- Log level set to INFO ---
2026-05-05 08:55:21,824 | gemini_media_gen | INFO | --- Logging to file: gemini_media_gen.log ---
2026-05-05 08:55:21,829 | gemini_media_gen | INFO | start gemini media mcp server...
2026-05-05 08:55:21,872 | mcp.server.lowlevel.server | INFO | Processing request of type ListPromptsRequest
2026-05-05 08:55:21,874 | mcp.server.lowlevel.server | INFO | Processing request of type ListToolsRequest
2026-05-05 08:55:21,880 | mcp.server.lowlevel.server | INFO | Processing request of type ListResourcesRequest
2026-05-05 09:01:33,421 | gemini_media_gen | INFO | --- Log level set to INFO ---
2026-05-05 09:01:33,421 | gemini_media_gen | INFO | --- Logging to file: gemini_media_gen.log ---
2026-05-05 09:01:33,426 | gemini_media_gen | INFO | start gemini media mcp server...
2026-05-05 09:01:33,467 | mcp.server.lowlevel.server | INFO | Processing request of type ListPromptsRequest
2026-05-05 09:01:33,470 | mcp.server.lowlevel.server | INFO | Processing request of type ListToolsRequest
2026-05-05 09:01:33,477 | mcp.server.lowlevel.server | INFO | Processing request of type ListResourcesRequest
2026-05-05 13:45:43,352 | gemini_media_gen | INFO | --- Log level set to INFO ---
2026-05-05 13:45:43,353 | gemini_media_gen | INFO | --- Logging to file: gemini_media_gen.log ---
2026-05-05 13:45:43,359 | gemini_media_gen | INFO | start gemini media mcp server...
2026-05-05 13:45:43,418 | mcp.server.lowlevel.server | INFO | Processing request of type ListPromptsRequest
2026-05-05 13:45:43,421 | mcp.server.lowlevel.server | INFO | Processing request of type ListToolsRequest
2026-05-05 13:45:43,435 | mcp.server.lowlevel.server | INFO | Processing request of type ListResourcesRequest
2026-05-05 13:46:09,220 | gemini_media_gen | INFO | --- Log level set to INFO ---
2026-05-05 13:46:09,220 | gemini_media_gen | INFO | --- Logging to file: gemini_media_gen.log ---
2026-05-05 13:46:09,226 | gemini_media_gen | INFO | start gemini media mcp server...
2026-05-05 13:46:09,273 | mcp.server.lowlevel.server | INFO | Processing request of type ListPromptsRequest
2026-05-05 13:46:09,276 | mcp.server.lowlevel.server | INFO | Processing request of type ListToolsRequest
2026-05-05 13:46:09,282 | mcp.server.lowlevel.server | INFO | Processing request of type ListResourcesRequest
2026-05-05 19:29:20,518 | gemini_media_gen | INFO | --- Log level set to INFO ---
2026-05-05 19:29:20,519 | gemini_media_gen | INFO | --- Logging to file: gemini_media_gen.log ---
2026-05-05 19:29:20,525 | gemini_media_gen | INFO | start gemini media mcp server...
2026-05-05 19:29:20,575 | mcp.server.lowlevel.server | INFO | Processing request of type ListPromptsRequest
2026-05-05 19:29:20,579 | mcp.server.lowlevel.server | INFO | Processing request of type ListToolsRequest
2026-05-05 19:29:20,586 | mcp.server.lowlevel.server | INFO | Processing request of type ListResourcesRequest
2026-05-05 19:32:04,041 | gemini_media_gen | INFO | --- Log level set to INFO ---
2026-05-05 19:32:04,041 | gemini_media_gen | INFO | --- Logging to file: gemini_media_gen.log ---
2026-05-05 19:32:04,047 | gemini_media_gen | INFO | start gemini media mcp server...
2026-05-05 19:32:04,091 | mcp.server.lowlevel.server | INFO | Processing request of type ListPromptsRequest
2026-05-05 19:32:04,094 | mcp.server.lowlevel.server | INFO | Processing request of type ListToolsRequest
2026-05-05 19:32:04,100 | mcp.server.lowlevel.server | INFO | Processing request of type ListResourcesRequest
2026-05-05 23:58:42,081 | gemini_media_gen | INFO | --- Log level set to INFO ---
2026-05-05 23:58:42,082 | gemini_media_gen | INFO | --- Logging to file: gemini_media_gen.log ---
2026-05-05 23:58:42,089 | gemini_media_gen | INFO | start gemini media mcp server...
2026-05-05 23:58:42,619 | httpx | INFO | HTTP Request: GET https://pypi.org/pypi/fastmcp/json "HTTP/1.1 200 OK"
2026-05-05 23:58:42,682 | mcp.server.lowlevel.server | INFO | Processing request of type ListPromptsRequest
2026-05-05 23:58:42,685 | mcp.server.lowlevel.server | INFO | Processing request of type ListToolsRequest
2026-05-05 23:58:42,697 | mcp.server.lowlevel.server | INFO | Processing request of type ListResourcesRequest
2026-05-06 00:01:18,217 | gemini_media_gen | INFO | --- Log level set to INFO ---
2026-05-06 00:01:18,217 | gemini_media_gen | INFO | --- Logging to file: gemini_media_gen.log ---
2026-05-06 00:01:18,223 | gemini_media_gen | INFO | start gemini media mcp server...
2026-05-06 00:01:18,284 | mcp.server.lowlevel.server | INFO | Processing request of type ListPromptsRequest
2026-05-06 00:01:18,287 | mcp.server.lowlevel.server | INFO | Processing request of type ListToolsRequest
2026-05-06 00:01:18,294 | mcp.server.lowlevel.server | INFO | Processing request of type ListResourcesRequest
2026-05-06 01:37:31,794 | gemini_media_gen | INFO | --- Log level set to INFO ---
2026-05-06 01:37:31,794 | gemini_media_gen | INFO | --- Logging to file: gemini_media_gen.log ---
2026-05-06 01:37:31,800 | gemini_media_gen | INFO | start gemini media mcp server...
2026-05-06 01:37:31,850 | mcp.server.lowlevel.server | INFO | Processing request of type ListPromptsRequest
2026-05-06 01:37:31,853 | mcp.server.lowlevel.server | INFO | Processing request of type ListToolsRequest
2026-05-06 01:37:31,859 | mcp.server.lowlevel.server | INFO | Processing request of type ListResourcesRequest
2026-05-06 01:58:22,263 | gemini_media_gen | INFO | --- Log level set to INFO ---
2026-05-06 01:58:22,263 | gemini_media_gen | INFO | --- Logging to file: gemini_media_gen.log ---
2026-05-06 01:58:22,269 | gemini_media_gen | INFO | start gemini media mcp server...
2026-05-06 01:58:22,336 | mcp.server.lowlevel.server | INFO | Processing request of type ListPromptsRequest
2026-05-06 01:58:22,341 | mcp.server.lowlevel.server | INFO | Processing request of type ListToolsRequest
2026-05-06 01:58:22,346 | mcp.server.lowlevel.server | INFO | Processing request of type ListResourcesRequest
2026-05-06 01:59:36,247 | gemini_media_gen | INFO | --- Log level set to INFO ---
2026-05-06 01:59:36,247 | gemini_media_gen | INFO | --- Logging to file: gemini_media_gen.log ---
2026-05-06 01:59:36,253 | gemini_media_gen | INFO | start gemini media mcp server...
2026-05-06 01:59:36,302 | mcp.server.lowlevel.server | INFO | Processing request of type ListPromptsRequest
2026-05-06 01:59:36,305 | mcp.server.lowlevel.server | INFO | Processing request of type ListToolsRequest
2026-05-06 01:59:36,313 | mcp.server.lowlevel.server | INFO | Processing request of type ListResourcesRequest
2026-05-06 02:02:25,890 | gemini_media_gen | INFO | --- Log level set to INFO ---
2026-05-06 02:02:25,890 | gemini_media_gen | INFO | --- Logging to file: gemini_media_gen.log ---
2026-05-06 02:02:25,896 | gemini_media_gen | INFO | start gemini media mcp server...
2026-05-06 02:02:25,949 | mcp.server.lowlevel.server | INFO | Processing request of type ListPromptsRequest
2026-05-06 02:02:25,952 | mcp.server.lowlevel.server | INFO | Processing request of type ListToolsRequest
2026-05-06 02:02:25,959 | mcp.server.lowlevel.server | INFO | Processing request of type ListResourcesRequest
